Empreendimento;Unidade;Tipo;Área Privativa (m²);Situação;Valor VGV;Valor m²;Chave
BAL HARBOUR;Apto. 1001;3S;165.29;Bloqueada; 3,499,017 ;21,169;BAL HARBOURApto. 1001
BAL HARBOUR;Apto. 1204;3S;115.54;Bloqueada; 1,993,917 ;17,257;BAL HARBOURApto. 1204
BAL HARBOUR;Apto. 1401;3S;165.29;Bloqueada; 3,698,791 ;22,378;BAL HARBOURApto. 1401
BAL HARBOUR;Apto. 1701;2S;165.29;Bloqueada; 3,807,708 ;23,037;BAL HARBOURApto. 1701
BAL HARBOUR;Apto. 1704;3S;115.54;Bloqueada; 2,099,372 ;18,17;BAL HARBOURApto. 1704
BAL HARBOUR;Apto. 1803;3S;129.68;Bloqueada; 2,740,658 ;21,134;BAL HARBOURApto. 1803
BAL HARBOUR;Apto. 1903;3S;129.68;Bloqueada; 2,815,451 ;21,711;BAL HARBOURApto. 1903
BAL HARBOUR;Apto. 2104;3S;115.54;Bloqueada; 2,152,006 ;18,626;BAL HARBOURApto. 2104
BAL HARBOUR;Apto. 802;3S;144.61;Bloqueada; 2,924,698 ;20,225;BAL HARBOURApto. 802
BAL HARBOUR;Apto. 804;2S;115.54;Bloqueada; 1,941,284 ;16,802;BAL HARBOURApto. 804
BAL HARBOUR;Sala Com. 01;2S;41.34;Bloqueada; 1,084,588 ;26,236;BAL HARBOURSala Com. 01
BAL HARBOUR;Sala Com. 02;3S;63.27;Bloqueada; 1,084,588 ;17,142;BAL HARBOURSala Com. 02
BAL HARBOUR;Sala Com. 03;3S;71.73;Bloqueada; 1,084,588 ;15,12;BAL HARBOURSala Com. 03
BAL HARBOUR;Sala Com. 04;3S;72.53;Bloqueada; 1,084,588 ;14,954;BAL HARBOURSala Com. 04
BAL HARBOUR;Sala Com. 05;2S;75.86;Bloqueada; 1,084,588 ;14,297;BAL HARBOURSala Com. 05
BAL HARBOUR;Sala Com. 06;3S;33.01;Bloqueada; 1,084,588 ;32,856;BAL HARBOURSala Com. 06
BLUE COAST;Apartamento 603;3S;131.52;Bloqueada; 2,253,246 ;17,132;BLUE COASTApartamento 603
DESTIN BEACH;Apto. 1003;3S;82.11;Bloqueada; 1,300,060 ;15,833;DESTIN BEACHApto. 1003
DESTIN BEACH;Apto. 1004;3S;84.84;Bloqueada; 1,401,373 ;16,518;DESTIN BEACHApto. 1004
DESTIN BEACH;Apto. 1005;3S;80.97;Bloqueada; 1,183,261 ;14,614;DESTIN BEACHApto. 1005
DESTIN BEACH;Apto. 1201;3S;130.32;Bloqueada; 2,258,561 ;17,331;DESTIN BEACHApto. 1201
DESTIN BEACH;Apto. 1202;3S;130.34;Bloqueada; 2,482,010 ;19,043;DESTIN BEACHApto. 1202
DESTIN BEACH;Apto. 1203;2S;82.11;Bloqueada; 1,317,629 ;16,047;DESTIN BEACHApto. 1203
DESTIN BEACH;Apto. 1204;3S;84.84;Bloqueada; 1,419,526 ;16,732;DESTIN BEACHApto. 1204
DESTIN BEACH;Apto. 1205;2S;80.97;Bloqueada; 1,200,586 ;14,828;DESTIN BEACHApto. 1205
DESTIN BEACH;Apto. 1206;2S;113.58;Bloqueada; 1,774,028 ;15,619;DESTIN BEACHApto. 1206
DESTIN BEACH;Apto. 1207;3S;82.02;Bloqueada; 1,189,831 ;14,507;DESTIN BEACHApto. 1207
DESTIN BEACH;Apto. 1302;3S;130.34;Bloqueada; 2,495,954 ;19,15;DESTIN BEACHApto. 1302
DESTIN BEACH;Apto. 1304;3S;84.84;Bloqueada; 1,428,602 ;16,839;DESTIN BEACHApto. 1304
DESTIN BEACH;Apto. 1405;3S;80.97;Bloqueada; 1,217,910 ;15,041;DESTIN BEACHApto. 1405
DESTIN BEACH;Apto. 1502;3S;130.34;Bloqueada; -   ; -   ;DESTIN BEACHApto. 1502
DESTIN BEACH;Apto. 1602;3S;130.34;Bloqueada; 2,719,056 ;20,861;DESTIN BEACHApto. 1602
DESTIN BEACH;Apto. 1604;3S;84.84;Bloqueada; 1,573,822 ;18,55;DESTIN BEACHApto. 1604
DESTIN BEACH;Apto. 1605;3S;80.97;Bloqueada; 1,252,559 ;15,469;DESTIN BEACHApto. 1605
DESTIN BEACH;Apto. 1606;Garden;113.58;Bloqueada; 1,883,386 ;16,582;DESTIN BEACHApto. 1606
DESTIN BEACH;Apto. 1807;2S;82.02;Bloqueada; 1,303,900 ;15,897;DESTIN BEACHApto. 1807
DESTIN BEACH;Apto. 1901;3S;130.32;Bloqueada; 2,579,221 ;19,791;DESTIN BEACHApto. 1901
DESTIN BEACH;Apto. 1902;3S;130.34;Bloqueada; 2,802,719 ;21,503;DESTIN BEACHApto. 1902
DESTIN BEACH;Apto. 1903;3S;82.11;Bloqueada; 1,449,392 ;17,652;DESTIN BEACHApto. 1903
DESTIN BEACH;Apto. 1904;2S;84.84;Bloqueada; 1,628,279 ;19,192;DESTIN BEACHApto. 1904
DESTIN BEACH;Apto. 2201;3S;130.32;Bloqueada; 2,662,872 ;20,433;DESTIN BEACHApto. 2201
DESTIN BEACH;Apto. 2202;3S;130.34;Bloqueada; 2,886,382 ;22,145;DESTIN BEACHApto. 2202
DESTIN BEACH;Apto. 2203;2S;82.11;Bloqueada; 1,502,097 ;18,294;DESTIN BEACHApto. 2203
DESTIN BEACH;Apto. 2204;3S;84.84;Bloqueada; 1,682,737 ;19,834;DESTIN BEACHApto. 2204
DESTIN BEACH;Apto. 2205;2S;80.97;Bloqueada; 1,356,506 ;16,753;DESTIN BEACHApto. 2205
DESTIN BEACH;Apto. 2206;3S;113.58;Bloqueada; 2,029,197 ;17,866;DESTIN BEACHApto. 2206
DESTIN BEACH;Apto. 2207;3S;82.02;Bloqueada; 1,374,097 ;16,753;DESTIN BEACHApto. 2207
DESTIN BEACH;Apto. 2401;3S;130.32;Bloqueada; 2,718,639 ;20,861;DESTIN BEACHApto. 2401
DESTIN BEACH;Apto. 2402;2S;130.34;Bloqueada; 2,942,158 ;22,573;DESTIN BEACHApto. 2402
DESTIN BEACH;Apto. 2404;2S;84.84;Bloqueada; 1,719,042 ;20,262;DESTIN BEACHApto. 2404
DESTIN BEACH;Apto. 603;2S;82.11;Bloqueada; -   ; -   ;DESTIN BEACHApto. 603
DESTIN BEACH;Apto. 702;2S;130.34;Bloqueada; 2,412,291 ;18,508;DESTIN BEACHApto. 702
DESTIN BEACH;Apto. 805;4S;80.97;Bloqueada; 1,165,937 ;14,4;DESTIN BEACHApto. 805
DESTIN BEACH;Apto. 901;2S;130.32;Bloqueada; 2,216,736 ;17,01;DESTIN BEACHApto. 901
DESTIN BEACH;Apto. 902;2S;130.34;Bloqueada; 2,440,178 ;18,722;DESTIN BEACHApto. 902
DESTIN BEACH;Apto. 904;2S;84.84;Bloqueada; 1,392,297 ;16,411;DESTIN BEACHApto. 904
DOLPHIN BAY;Sala Comercial;2S;52.27;Bloqueada; -   ; -   ;DOLPHIN BAYSala Comercial
EMERALD COAST;Apto. 1003;Decorado;125.54;Bloqueada; 2,094,004 ;16,68;EMERALD COASTApto. 1003
EMERALD COAST;Apto. 1403;Decorado;125.54;Bloqueada; 2,162,742 ;17,228;EMERALD COASTApto. 1403
EMERALD COAST;Apto. 1503;Decorado;125.54;Bloqueada; 2,177,109 ;17,342;EMERALD COASTApto. 1503
EMERALD COAST;Apto. 1802;Sala;145.28;Bloqueada; 2,952,443 ;20,322;EMERALD COASTApto. 1802
EMERALD COAST;Apto. 1803;Sala;125.54;Bloqueada; 2,220,211 ;17,685;EMERALD COASTApto. 1803
EMERALD COAST;Apto. 2202;Sala;145.28;Bloqueada; 3,194,793 ;21,991;EMERALD COASTApto. 2202
EMERALD COAST;Apto. 2203;Sala;125.54;Bloqueada; 2,320,988 ;18,488;EMERALD COASTApto. 2203
EMERALD COAST;Apto. 2301;Sala;147.13;Bloqueada; 3,290,903 ;22,367;EMERALD COASTApto. 2301
EMERALD COAST;Apto. 2302;Sala;145.28;Bloqueada; 3,246,918 ;22,349;EMERALD COASTApto. 2302
EMERALD COAST;Apto. 2501;Sala;147.13;Bloqueada; 3,498,201 ;23,776;EMERALD COASTApto. 2501
EMERALD COAST;Apto. 601;Síndico;147.13;Bloqueada; 2,665,377 ;18,116;EMERALD COASTApto. 601
EMERALD COAST;Apto. 703;Síndico;125.54;Bloqueada; 2,017,492 ;16,071;EMERALD COASTApto. 703
EMERALD COAST;Apto. 903;Síndico;125.54;Bloqueada; 2,051,443 ;16,341;EMERALD COASTApto. 903
FORT MYERS;Sala Com. 01;Síndico;180.635;Bloqueada; -   ; -   ;FORT MYERSSala Com. 01
FORT MYERS;Sala Com. 02;Síndico;111.545;Bloqueada; -   ; -   ;FORT MYERSSala Com. 02
FORT MYERS;Sala Com. 03;Síndico;90.635;Bloqueada; -   ; -   ;FORT MYERSSala Com. 03
FORT MYERS;Sala Com. 04;Síndico;98.365;Bloqueada; -   ; -   ;FORT MYERSSala Com. 04
FORT MYERS;Tipo - Apto. 1005;Síndico;85.24;Bloqueada; 1,110,172 ;13,024;FORT MYERSTipo - Apto. 1005
FORT MYERS;Tipo - Apto. 1503;Síndico;124.25;Bloqueada; 2,203,158 ;17,732;FORT MYERSTipo - Apto. 1503
FORT MYERS;Tipo - Apto. 1905;Síndico;85.24;Bloqueada; 1,186,471 ;13,919;FORT MYERSTipo - Apto. 1905
FORT MYERS;Tipo - Apto. 2204;Box;85.88;Bloqueada; 1,321,294 ;15,385;FORT MYERSTipo - Apto. 2204
FORT MYERS;Tipo - Apto. 3104;Box;85.88;Bloqueada; 1,388,295 ;16,166;FORT MYERSTipo - Apto. 3104
KEY WEST;Apto 1102;Vaga;122.96;Bloqueada; -   ; -   ;KEY WESTApto 1102
KEY WEST;Apto 1602;Vaga;122.96;Bloqueada; -   ; -   ;KEY WESTApto 1602
OCEAN PARK;Apto 1005 S;Vaga;80.91;Bloqueada; 1,304,559 ;16,124;OCEAN PARKApto 1005 S
OCEAN PARK;Apto 1205 S;Vaga;80.91;Bloqueada; 1,142,738 ;14,124;OCEAN PARKApto 1205 S
OCEAN PARK;Sala Com. 06;Vaga;82.69;Bloqueada; 2,338,150 ;28,276;OCEAN PARKSala Com. 06
PARADISE BAY;Apto 1801;Vaga;123.48;Bloqueada; 2,445,009 ;19,801;PARADISE BAYApto 1801
ROYAL BAY;Apto. 3502;Vaga;252.81;Bloqueada; 4,951,700 ;19,587;ROYAL BAYApto. 3502
ROYAL BAY;Apto. 4001;Vaga;259.47;Bloqueada; 5,647,578 ;21,766;ROYAL BAYApto. 4001
ROYAL BAY;Apto. 4003;Vaga;260.03;Bloqueada; 5,595,802 ;21,52;ROYAL BAYApto. 4003
ROYAL BAY;Apto. 901;Vaga;191.67;Bloqueada; 3,479,710 ;18,155;ROYAL BAYApto. 901
BAL HARBOUR;Apto. 1101;Vaga;165.29;Disponível; 3,549,125 ;21,472;BAL HARBOURApto. 1101
BAL HARBOUR;Apto. 1301;Vaga;165.29;Disponível; 3,599,466 ;21,777;BAL HARBOURApto. 1301
BAL HARBOUR;Apto. 1304;2S;115.54;Disponível; 2,007,076 ;17,371;BAL HARBOURApto. 1304
BAL HARBOUR;Apto. 1404;Sala;115.54;Disponível; 2,020,234 ;17,485;BAL HARBOURApto. 1404
BAL HARBOUR;Apto. 1501;2S;165.29;Disponível; 3,720,875 ;22,511;BAL HARBOURApto. 1501
BAL HARBOUR;Apto. 1802;2S;144.61;Disponível; 3,195,106 ;22,095;BAL HARBOURApto. 1802
BAL HARBOUR;Apto. 1804;2S;115.54;Disponível; 2,112,531 ;18,284;BAL HARBOURApto. 1804
BAL HARBOUR;Apto. 1901;2S;165.29;Disponível; 3,888,959 ;23,528;BAL HARBOURApto. 1901
BAL HARBOUR;Apto. 1904;2S;115.54;Disponível; 2,125,689 ;18,398;BAL HARBOURApto. 1904
BAL HARBOUR;Apto. 2004;2S;115.54;Disponível; 2,138,847 ;18,512;BAL HARBOURApto. 2004
BAL HARBOUR;Apto. 2103;2S;129.68;Disponível; 2,970,277 ;22,905;BAL HARBOURApto. 2103
BAL HARBOUR;Apto. 2203;2S;129.68;Disponível; 3,019,543 ;23,285;BAL HARBOURApto. 2203
BAL HARBOUR;Apto. 2204;2S;115.54;Disponível; 2,204,827 ;19,083;BAL HARBOURApto. 2204
BAL HARBOUR;Apto. 2301;2S;298.08;Disponível; 7,437,758 ;24,952;BAL HARBOURApto. 2301
BAL HARBOUR;Apto. 2302;2S;144.61;Disponível; 3,513,783 ;24,298;BAL HARBOURApto. 2302
BAL HARBOUR;Apto. 2303;2S;129.74;Disponível; 3,070,228 ;23,664;BAL HARBOURApto. 2303
BAL HARBOUR;Apto. 2401;2S;298.08;Disponível; 7,555,565 ;25,347;BAL HARBOURApto. 2401
BAL HARBOUR;Apto. 2501;2S;298.08;Disponível; 7,839,269 ;26,299;BAL HARBOURApto. 2501
BAL HARBOUR;Apto. 2502;2S;277.29;Disponível; 7,354,837 ;26,524;BAL HARBOURApto. 2502
BAL HARBOUR;Apto. 2503;2S;271.74;Disponível; 7,207,629 ;26,524;BAL HARBOURApto. 2503
BAL HARBOUR;Apto. 601;2S;167.46;Disponível; 3,298,220 ;19,696;BAL HARBOURApto. 601
BAL HARBOUR;Apto. 603;2S;146.22;Disponível; 2,474,971 ;16,926;BAL HARBOURApto. 603
BAL HARBOUR;Apto. 604;2S;155.45;Disponível; 2,131,158 ;13,71;BAL HARBOURApto. 604
BAL HARBOUR;Apto. 701;2S;165.29;Disponível; 3,298,161 ;19,954;BAL HARBOURApto. 701
BAL HARBOUR;Apto. 702;2S;144.61;Disponível; 2,886,882 ;19,963;BAL HARBOURApto. 702
BAL HARBOUR;Apto. 704;2S;115.54;Disponível; 1,917,805 ;16,599;BAL HARBOURApto. 704
BAL HARBOUR;Apto. 801;2S;165.29;Disponível; 3,340,842 ;20,212;BAL HARBOURApto. 801
BAL HARBOUR;Apto. 901;2S;165.29;Disponível; 3,427,655 ;20,737;BAL HARBOURApto. 901
