Empreendimento,Unidade,Tipo,Área Privativa (m²),Situação,Valor VGV,Valor m²,Chave
BAL HARBOUR,Apto. 1001,3S,"165,29",Bloqueada,"R$ 3.507.414,26","R$ 21.219,76",BAL HARBOURApto. 1001
BAL HARBOUR,Apto. 1204,3S,"115,54",Bloqueada,"R$ 1.998.702,86","R$ 17.298,80",BAL HARBOURApto. 1204
BAL HARBOUR,Apto. 1401,3S,"165,29",Bloqueada,"R$ 3.707.668,16","R$ 22.431,29",BAL HARBOURApto. 1401
BAL HARBOUR,Apto. 1701,2S,"165,29",Bloqueada,"R$ 3.816.846,52","R$ 23.091,82",BAL HARBOURApto. 1701
BAL HARBOUR,Apto. 1704,3S,"115,54",Bloqueada,"R$ 2.104.410,79","R$ 18.213,70",BAL HARBOURApto. 1704
BAL HARBOUR,Apto. 1803,3S,"129,68",Bloqueada,"R$ 2.747.235,09","R$ 21.184,72",BAL HARBOURApto. 1803
BAL HARBOUR,Apto. 1903,3S,"129,68",Bloqueada,"R$ 2.822.207,58","R$ 21.762,86",BAL HARBOURApto. 1903
BAL HARBOUR,Apto. 2104,3S,"115,54",Bloqueada,"R$ 2.157.170,62","R$ 18.670,34",BAL HARBOURApto. 2104
BAL HARBOUR,Apto. 802,3S,"144,61",Bloqueada,"R$ 2.931.716,98","R$ 20.273,27",BAL HARBOURApto. 802
BAL HARBOUR,Apto. 804,2S,"115,54",Bloqueada,"R$ 1.945.943,03","R$ 16.842,16",BAL HARBOURApto. 804
BAL HARBOUR,Sala Com. 01,2S,"41,34",Bloqueada,"R$ 1.087.190,79","R$ 26.298,76",BAL HARBOURSala Com. 01
BAL HARBOUR,Sala Com. 02,3S,"63,27",Bloqueada,"R$ 1.087.190,79","R$ 17.183,35",BAL HARBOURSala Com. 02
BAL HARBOUR,Sala Com. 03,3S,"71,73",Bloqueada,"R$ 1.087.190,79","R$ 15.156,71",BAL HARBOURSala Com. 03
